id,should_trigger,invocation_type,prompt,notes
api-01,true,explicit,"Use the $api skill to show me my org's security posture","Direct skill reference by name"
api-02,true,implicit,"Show me the security posture of my StackHawk organization","'security posture' keyword from skill description"
api-03,true,implicit,"What are my untriaged findings across all apps?","'untriaged findings' keyword"
api-04,true,implicit,"Give me a security dashboard overview for my org","'security dashboard' keyword"
api-05,true,implicit,"Show me the scan history for my payment-api application","'scan history' keyword"
api-06,true,implicit,"What needs immediate security attention in my org?","'what needs attention' keyword"
api-07,true,contextual,"Which of my apps have HIGH severity findings that haven't been addressed?","Finding severity query; no keyword match — tests whether description alone triggers"
api-08,true,contextual,"What changed in my security findings since last week?","Delta / diff query; tests 'what's new' path in Step 4"
api-09,true,contextual,"Which apps haven't been scanned in over 30 days?","Stale app detection; tests Step 3 posture with stale-app focus"
api-10,true,contextual,"I need a security report for the team's weekly standup","Reporting use case with no API-specific keywords"
api-11,true,contextual,"Pull the full finding details for the checkout-service — the PM wants a severity breakdown","App deep dive; tests Step 4 path"
api-12,false,negative,"Run a DAST scan on my API","Scan request → hawkscan skill; 'scan' should not route to api skill"
api-13,false,negative,"Scan my app on localhost:8080 for vulnerabilities","Explicit scan request → hawkscan"
api-14,false,negative,"Create a stackhawk.yml for my service","Config generation → hawkscan"
api-15,false,negative,"Fix the CORS misconfiguration that HawkScan found","Code fix → hawkscan + code change; api skill reads only"
api-16,false,negative,"Run HawkScan against my staging environment","Scan request → hawkscan; 'StackHawk' keyword should not override scan intent"
