id,should_trigger,invocation_type,prompt,notes
hw-01,true,explicit,"Use $hawkscan to scan my API running on localhost:8080","Direct skill reference by name; baseline — if this fails everything else is moot"
hw-02,true,explicit,"Run the hawkscan skill against my running application","hawkscan keyword in natural language"
hw-03,true,implicit,"Run a DAST scan on my running application","DAST keyword from skill description"
hw-04,true,implicit,"Scan my app for security vulnerabilities","'security scan' + 'app' language"
hw-05,true,implicit,"Use StackHawk to check my service on port 8080","StackHawk platform keyword"
hw-06,true,implicit,"I need to run a security scan on my API","'security scan' + 'API' language"
hw-07,true,contextual,"I just finished implementing the payment processing endpoint. Run a security scan before we deploy.","Explicit scan request after code change"
hw-08,true,contextual,"I added OAuth2 support to the auth service. Check it for security issues.","Implicit security check after feature; tests autonomous trigger"
hw-09,true,contextual,"The SQL injection fix is in. Verify the vulnerability is actually resolved.","Fix verification — should route to rescan path not a fresh scan"
hw-10,true,contextual,"I refactored the API gateway — check it hasn't introduced any security regressions.","Post-refactor security check; tests autonomous trigger on refactor"
hw-11,true,contextual,"My API spec is at ./openapi.yaml and the service is running on port 3000. Check for security holes before I merge.","Pre-merge gate with OpenAPI spec context"
hw-12,true,contextual,"Feature is done. Let's make sure it's secure.","Vague post-feature prompt; tests whether autonomous trigger fires on minimal phrasing"
hw-13,false,negative,"Show me my security findings from the last StackHawk scan","Reporting query → api skill; hawkscan must NOT trigger"
hw-14,false,negative,"What's my security posture across all my applications?","Posture dashboard → api skill; 'security' keyword alone should not trigger hawkscan"
hw-15,false,negative,"How many HIGH severity findings do I have untriaged?","Finding count query → api skill"
hw-16,false,negative,"Update the README with instructions for running security scans","Doc-only change; skill explicitly excludes doc-only changes"
hw-17,false,negative,"Don't run a security scan after this change — just commit it","Explicit user skip; skill must respect user's explicit opt-out"
hw-18,false,negative,"Change the host in stackhawk.yml from localhost:8080 to localhost:3000","Config-only edit to stackhawk.yml; not a code change, not a scan trigger"
hw-19,false,negative,"Install the hawk CLI on my machine","Installation task with no scan intent"
hw-20,false,negative,"What types of vulnerabilities does HawkScan detect?","Research question; no scan intent, no code change"
